date,tvl_usd
2022-12-02,1082956974.72248
2022-12-03,1078337248.61396
2022-12-04,1078659204.62651
2022-12-05,1080975925.43195
2022-12-06,1080070197.60247
2022-12-07,1078241822.9219
2022-12-08,1084967163.57803
2022-12-09,1083131375.16677
2022-12-10,1083473548.7481
2022-12-11,1083497265.77913
2022-12-12,1083907070.0552
2022-12-13,1085826608.06806
2022-12-14,1085448572.27672
2022-12-15,1085754194.60275
2022-12-16,1082291477.97723
2022-12-17,1082317435.87403
2022-12-18,1081247684.2824
2022-12-19,1081349850.82646
2022-12-20,1081421701.6084
2022-12-21,1080542517.37199
2022-12-22,1083684976.20471
2022-12-23,1082625698.74895
2022-12-24,1081556945.27304
2022-12-25,1082643188.29471
2022-12-26,1079635410.86771
2022-12-27,1078682780.99797
2022-12-28,1075919804.1029
2022-12-29,1076644671.88172
2022-12-30,1076645498.05803
2022-12-31,1076643956.73231
2023-01-01,1077732168.2028
2023-01-02,1076545616.49895
2023-01-03,1073472206.38011
2023-01-04,1073454041.50722
2023-01-05,1074508207.35402
2023-01-06,1074335427.7355
2023-01-07,1073263479.17404
2023-01-08,1074349027.90956
2023-01-09,1073276775.74328
2023-01-10,1074493906.97644
2023-01-11,1072175166.81929
2023-01-12,1082012142.73097
2023-01-13,1074511582.54869
2023-01-14,1075606097.31276
2023-01-15,1075616040.7545
2023-01-16,1078103723.18021
2023-01-17,1073873173.41473
2023-01-18,1073437323.72666
2023-01-19,1073713198.57156
2023-01-20,1073697553.48415
2023-01-21,223982290.69002
2023-01-22,221608333.90059
2023-01-23,221922526.61999
2023-01-24,222510118.36627
2023-01-25,222019423.06536
2023-01-26,220635188.04283
2023-01-27,222294466.56935
2023-01-28,222718395.01007
2023-01-29,221411341.6644
2023-01-30,221904449.17432
2023-01-31,219153492.02435
2023-02-01,219105584.20022
2023-02-02,220700812.00537
2023-02-03,220681859.00035
2023-02-04,221873355.35712
2023-02-05,220809713.29725
2023-02-06,219298097.98695
2023-02-07,219876179.37287
2023-02-08,221630550.48718
2023-02-09,221415894.25193
2023-02-10,219184803.60193
2023-02-11,219888837.06267
2023-02-12,221371217.6842
2023-02-13,219256374.59162
2023-02-14,218291645.72557
2023-02-15,219448421.9868
2023-02-16,221005494.54533
2023-02-17,221365254.61135
2023-02-18,227951787.01917
2023-02-19,228141825.39648
2023-02-20,227256538.33717
2023-02-21,222111217.41804
2023-02-22,221108766.68787
2023-02-23,220212631.73342
2023-02-24,248117738.41178
2023-02-25,219271618.27491
2023-02-26,220526143.2717
2023-02-27,220507433.72366
2023-02-28,218947943.59293
2023-03-01,218124492.94866
2023-03-02,221131669.3588
2023-03-03,223181850.9507
2023-03-04,222378397.27606
2023-03-05,223032164.01284
2023-03-06,222916946.88121
2023-03-07,223639186.22228
2023-03-08,260822831.17092
2023-03-09,221802779.04859
2023-03-10,221307641.72694
2023-03-11,194135743.30894
2023-03-12,146358088.06988
2023-03-13,143565304.15377
2023-03-14,153155414.46517
2023-03-15,156518135.93502
2023-03-16,160335105.09936
2023-03-17,161388552.24263
2023-03-18,169063754.65561
2023-03-19,168963323.59504
2023-03-20,168494610.39618
2023-03-21,167622948.17619
2023-03-22,167409733.2401
2023-03-23,165499908.38306
2023-03-24,164771425.13506
2023-03-25,163968527.6982
2023-03-26,163625625.56148
2023-03-27,162944864.46033
2023-03-28,163471983.00227
2023-03-29,164732651.34904
2023-03-30,167946397.46254
2023-03-31,168133651.435
2023-04-01,167307096.3428
2023-04-02,168400942.82696
2023-04-03,167797066.35704
2023-04-04,167256150.71886
2023-04-05,167260058.2264
2023-04-06,166878082.56981
2023-04-07,166824039.17106
2023-04-08,167625696.48825
2023-04-09,169302703.98907
2023-04-10,169660711.58339
2023-04-11,169860054.78272
2023-04-12,168310591.91734
2023-04-13,168167417.39743
2023-04-14,168722375.27519
2023-04-15,168839951.03774
2023-04-16,171526703.50236
2023-04-17,171854820.4677
2023-04-18,169053852.37765
2023-04-19,169625688.11525
2023-04-20,168113524.54957
2023-04-21,140163545.94718
2023-04-22,139043083.5288
2023-04-23,138814930.63291
2023-04-24,138905988.68596
2023-04-25,138655691.1706
2023-04-26,140140246.2788
2023-04-27,137885712.04379
2023-04-28,138237150.84707
2023-04-29,137918625.88305
2023-04-30,138453497.2182
2023-05-01,138648620.87383
2023-05-02,138002931.02162
2023-05-03,137809112.75076
2023-05-04,138835472.82928
2023-05-05,136662048.20991
2023-05-06,137092107.63566
2023-05-07,136906581.5098
2023-05-08,136766586.47522
2023-05-09,136150490.99943
2023-05-10,135244825.08777
2023-05-11,132508509.33577
2023-05-12,131960967.51445
2023-05-13,130392041.3593
2023-05-14,129922544.85198
2023-05-15,129478032.69894
2023-05-16,129886797.86801
2023-05-17,129744846.47217
2023-05-18,129124962.19171
2023-05-19,128856312.42987
2023-05-20,127995430.98505
2023-05-21,127908294.83037
2023-05-22,125690651.1501
2023-05-23,125475599.07787
2023-05-24,127606455.30932
2023-05-25,127332539.46109
2023-05-26,127313568.11773
2023-05-27,127998740.65207
2023-05-28,128502513.55798
2023-05-29,128573344.09144
2023-05-30,128001661.69355
2023-05-31,127485265.15328
2023-06-01,126861718.37873
2023-06-02,127464450.81529
2023-06-03,126611765.60051
2023-06-04,126359306.7672
2023-06-05,125999061.75978
2023-06-06,127835330.94149
2023-06-07,128083320.90901
2023-06-08,127990213.73463
2023-06-09,173783941.52031
2023-06-10,172477134.63619
2023-06-11,182361088.0571
2023-06-12,179957288.4775
2023-06-13,172394783.69671
2023-06-14,174058552.44535
2023-06-15,180972937.57903
2023-06-16,172639342.64009
2023-06-17,176845132.5952
2023-06-18,176233412.5351
2023-06-19,176415195.59894
2023-06-20,180316054.69374
2023-06-21,185087282.30335
2023-06-22,183735930.88694
2023-06-23,182965853.72125
2023-06-24,185500211.48414
2023-06-25,183432961.49084
2023-06-26,186996253.76548
2023-06-27,187595797.06679
2023-06-28,188056012.9742
2023-06-29,187176676.74352
2023-06-30,183640736.93113
2023-07-01,181316483.55853
2023-07-02,180800750.51902
2023-07-03,181061146.70249
2023-07-04,182166070.29959
2023-07-05,185698360.39243
2023-07-06,185589478.31958
2023-07-07,184620765.08494
2023-07-08,183797645.35787
2023-07-09,183643428.46006
2023-07-10,181325245.01975
2023-07-11,185093064.37247
2023-07-12,183860190.51176
2023-07-13,183770258.4091
2023-07-14,181866546.00133
2023-07-15,182977707.18226
2023-07-16,181141532.29843
2023-07-17,182421967.01874
2023-07-18,182681122.68651
2023-07-19,181569234.44984
2023-07-20,179115646.33474
2023-07-21,164097775.47261
2023-07-22,144206674.37328
2023-07-23,143985409.52738
2023-07-24,144343477.71054
2023-07-25,143954298.24718
2023-07-26,143799193.43998
2023-07-27,144055137.38511
2023-07-28,143565852.38509
2023-07-29,143418859.19026
2023-07-30,141872493.44099
2023-07-31,82471645.53187
2023-08-01,129166045.1832
2023-08-02,129603891.58539
2023-08-03,129313002.61783
2023-08-04,112567884.9536
2023-08-05,111097794.92736
2023-08-06,110995894.43099
2023-08-07,106626182.27821
2023-08-08,101319536.20661
2023-08-09,103278520.02041
2023-08-10,104043243.89429
2023-08-11,103711319.2504
2023-08-12,102562873.26559
2023-08-13,101610810.5302
2023-08-14,100530259.7839
2023-08-15,98437045.13643
2023-08-16,97370109.33101
2023-08-17,101155321.46422
2023-08-18,101607568.30742
2023-08-19,99922093.44928
2023-08-20,101060575.60693
2023-08-21,100786739.61935
2023-08-22,99798182.70628
2023-08-23,98956220.82922
2023-08-24,98675372.90072
2023-08-25,94487367.34517
2023-08-26,94620096.13339
2023-08-27,94963672.15518
2023-08-28,96010056.36269
2023-08-29,96495048.47539
2023-08-30,96999263.88168
2023-08-31,91749800.02229
2023-09-01,92325504.9355
2023-09-02,90359757.77962
2023-09-03,91036405.22824
2023-09-04,91534518.04593
2023-09-05,90935220.6145
2023-09-06,91468388.40735
2023-09-07,72074595.47004
2023-09-08,73616273.79358
2023-09-09,73285978.51724
2023-09-10,72888778.91462
2023-09-11,72054708.89951
2023-09-12,69685731.71479
2023-09-13,68052791.72002
2023-09-14,67937266.37412
2023-09-15,68006215.7573
2023-09-16,67435685.77418
2023-09-17,62021549.88176
2023-09-18,62887240.3487
2023-09-19,62050925.90602
2023-09-20,61109124.46144
2023-09-21,60961412.71467
2023-09-22,62883857.76558
2023-09-23,63794279.6754
2023-09-24,63189234.74221
2023-09-25,63628360.3433
2023-09-26,63642310.73518
2023-09-27,64607392.68478
2023-09-28,64367657.96674
2023-09-29,63497555.90408
2023-09-30,64442545.96863
2023-10-01,62508383.96789
2023-10-02,63151199.64685
2023-10-03,62660480.7651
2023-10-04,62010128.54658
2023-10-05,63616578.4014
2023-10-06,64342225.68118
2023-10-07,62950100.58117
2023-10-08,62901268.08345
2023-10-09,62891095.91759
2023-10-10,61163144.97244
2023-10-11,39002968.60316
2023-10-12,37738943.35973
2023-10-13,45618778.74646
2023-10-14,44177079.21821
2023-10-15,45348589.02908
2023-10-16,46718167.2183
2023-10-17,48719080.78954
2023-10-18,48929726.93355
2023-10-19,44288530.53987
2023-10-20,46129231.82373
2023-10-21,37274996.40552
2023-10-22,37431763.30109
2023-10-23,37721672.54055
2023-10-24,36918531.94359
2023-10-25,34387566.43518
2023-10-26,35853071.40469
2023-10-27,37237176.84512
2023-10-28,36548162.59899
2023-10-29,37525537.92882
2023-10-30,38241896.11751
2023-10-31,38186932.22015
2023-11-01,37890221.5309
2023-11-02,37865347.91227
2023-11-03,41323167.87484
2023-11-04,41617774.25436
2023-11-05,39403729.99322
2023-11-06,38161405.87586
2023-11-07,37239127.18901
2023-11-08,36212296.13488
2023-11-09,33868442.19524
2023-11-10,34156358.5936
2023-11-11,35322699.12494
2023-11-12,35512239.98437
2023-11-13,34061307.37193
2023-11-14,34282138.75246
2023-11-15,36517520.53608
2023-11-16,35101810.20296
2023-11-17,36143616.13134
2023-11-18,35701075.45708
2023-11-19,34238781.57563
2023-11-20,34020232.99228
2023-11-21,32999502.65425
2023-11-22,32860664.52404
2023-11-23,32830616.49591
2023-11-24,33312523.96327
2023-11-25,33370256.6437
2023-11-26,33244005.56794
2023-11-27,31811245.48599
2023-11-28,32462446.50496
2023-11-29,32330191.3233
2023-11-30,33073339.00784
2023-12-01,31922531.21977
2023-12-02,31634114.96642
2023-12-03,32726285.50741
2023-12-04,32572194.64141
2023-12-05,29068918.98848
2023-12-06,26378237.80377
2023-12-07,27006438.37922
2023-12-08,28072576.50919
2023-12-09,28116797.31648
2023-12-10,31573456.90954
2023-12-11,31756905.20616
2023-12-12,30970854.89666
2023-12-13,29957902.23063
2023-12-14,28817911.9782
2023-12-15,28143975.12987
2023-12-16,27446211.07834
2023-12-17,27174006.40544
2023-12-18,26567114.31798
2023-12-19,26759724.85165
2023-12-20,26775736.42734
2023-12-21,26524879.72388
2023-12-22,26795159.26337
2023-12-23,24711320.02474
2023-12-24,20869747.34
2023-12-25,21196781.62153
2023-12-26,21612854.22446
2023-12-27,20208992.97765
2023-12-28,20260515.4139
2023-12-29,20458414.81918
2023-12-30,19534791.34553
2023-12-31,17926139.2553
2024-01-01,15878859.93633
2024-01-02,16003920.45804
2024-01-03,15708300.98177
2024-01-04,15337623.60492
2024-01-05,16098803.69854
